id,shape,color,cut,clarity,polish,symmetry,florescence
32749,0,1,2,3,2,2,3
6671,0,5,2,3,2,2,1
760,0,6,1,2,1,1,4
35127,0,5,2,3,2,2,4
49341,7,5,1,2,1,1,4
71064,0,2,2,2,2,2,3
51538,0,2,2,4,2,2,1
61972,2,2,1,5,2,2,4
63015,0,5,2,2,2,2,4
95646,1,5,1,0,1,1,4
81416,0,4,2,3,1,1,4
62936,0,5,2,5,2,2,3
89295,0,2,2,2,2,2,4
36787,0,5,0,2,2,2,4
77892,0,2,2,2,1,2,4
97995,8,3,1,5,2,2,4
98182,1,3,1,0,1,2,3
71183,8,5,1,3,2,1,4
41240,0,5,2,4,2,1,4
32471,9,3,1,1,2,2,4
27736,0,3,1,3,2,1,2
69395,0,6,1,2,1,1,4
99638,0,5,2,0,2,2,4
71540,7,6,1,1,2,2,2
81125,0,5,1,3,2,1,4
59424,0,1,2,6,2,2,4
67844,0,5,1,2,1,1,3
76857,0,3,2,1,2,1,4
1260,0,0,2,1,2,2,4
5620,0,6,1,2,1,2,3
61989,0,5,2,4,2,1,4
107033,0,1,2,1,2,2,4
14759,0,1,2,1,2,1,4
71299,2,6,1,3,1,1,4
104759,2,6,1,5,2,2,4
94528,0,2,2,0,2,2,4
29564,0,6,2,4,2,2,4
83632,0,5,2,1,2,2,4
45730,0,2,2,0,2,1,4
85533,0,1,2,3,2,2,4
50135,7,0,1,0,1,1,3
27637,0,1,2,3,2,2,4
15697,2,5,1,3,1,0,4
72961,8,3,1,5,2,1,4
78464,0,3,2,4,2,2,1
88171,0,4,2,0,1,2,2
115351,0,3,2,5,2,2,4
28808,0,1,2,5,2,2,2
26076,0,6,2,2,2,2,4
25743,0,2,1,6,2,2,4
56795,4,4,0,1,1,1,4
103010,0,3,2,1,2,2,4
37831,0,5,1,0,1,2,4
23677,0,2,2,2,2,2,3
109583,0,2,2,3,2,2,2
106093,1,1,1,1,2,1,3
65237,0,4,1,3,2,2,4
7204,0,1,2,1,2,2,4
71747,0,6,2,4,2,2,3
63292,7,2,1,1,2,0,4
51028,0,4,1,1,2,1,4
91929,0,5,3,3,2,2,2
64726,0,3,2,3,2,2,4
